Course Name_y,Course Name_x,Overview,Course Code
Bachelor of Business (Honours),Bachelor of Business (Honours) ,"The Bachelor of Business (Honours) provides an opportunity for advanced study in the disciplinary areas of accounting, finance and economics, management or marketing.

The course provides the ideal foundation for students who plan to pursue a career in applied research in business and related professions, or who plan to undertake master's or doctoral research studies.

",C09004 
Bachelor of Entrepreneurship (Honours),Bachelor of Entrepreneurship (Honours) ,"The Bachelor of Entrepreneurship (Honours) is a one-year, full-time course that provides students with an undergraduate qualification in entrepreneurship. The course is open to graduates from all disciplines and is designed to help motivated students develop their own entrepreneurial proposal.

The degree is aimed at a diverse cohort of students with a desire to develop (or continue to develop) an entrepreneurial project or start-up venture. Students of all disciplines graduating with undergraduate degrees at UTS, other Australian universities or international institutions can apply.

",C09101 
Bachelor of Management (Honours),Bachelor of Management (Honours) ,"The Honours program is designed to provide students with the resources to further develop and apply their research skills and to pursue special areas of interest in depth.

This degree allows students who are interested in pursuing higher doctorate research study or advancing their preparedness to engage with industry to undertake high-level academic scholarship in a specialised area. Working one-on-one with an academic supervisor, students prepare an academic dissertation that serves as their personal contribution to the body of academic knowledge. In addition to opening up opportunities for further study or work placements, students have the opportunity to learn from some of the university's leading academics.

",C09081 
Bachelor of Engineering (Honours) Bachelor of Business,Bachelor of Engineering (Honours) Bachelor of Business ,"This combined degree is offered jointly by the Faculty of Engineering and Information Technology and the UTS Business School. It allows students to complete the core and major components of both the engineering and business degrees, producing engineers with skills in commercialisation of technology innovation and business graduates with professional-level competency in technology use.

Students learn how engineering and business fit together, how to manage technology and innovation, and how to commercialise engineering innovations. For graduates choosing to practise as engineers, the business knowledge gained in this course will prove invaluable in providing a sound foundation for entrepreneurial initiatives and the commercialisation of engineering innovations.

This combined degree can be completed in less time than would be required to complete the two degrees separately.

",C09070 
Bachelor of Engineering (Honours) Bachelor of Business,Bachelor of Engineering (Honours) Bachelor of Business ,"This combined degree is offered jointly by the Faculty of Engineering and Information Technology and the UTS Business School. It allows students to complete the core and major components of both the engineering and business degrees, producing engineers with skills in commercialisation of technology innovation and business graduates with professional-level competency in technology use.

Students learn how engineering and business fit together, how to manage technology and innovation, and how to commercialise engineering innovations. For graduates choosing to practise as engineers, the business knowledge gained in this course will prove invaluable in providing a sound foundation for entrepreneurial initiatives and the commercialisation of engineering innovations.

This combined degree can be completed in less time than would be required to complete the two degrees separately.

",C09070 
Bachelor of Information Technology Bachelor of Business,Bachelor of Information Technology Bachelor of Business ,"This course is offered jointly by the Faculty of Engineering and Information Technology and the UTS Business School and is awarded with two testamurs. The information technology component provides a sound education in all aspects of computing and information technology for students who intend to make a career in the profession. The business component provides students with the knowledge, competencies and values necessary for fulfilling an effective career in business.

Graduates with solid IT skills who also understand business operations are in strong demand in industry. This combined program allows students to gain two degrees, leading towards a career in business IT operations in only four years.

",C10219 
Bachelor of Information Technology Bachelor of Business,Bachelor of Information Technology Bachelor of Business ,"This course is offered jointly by the Faculty of Engineering and Information Technology and the UTS Business School and is awarded with two testamurs. The information technology component provides a sound education in all aspects of computing and information technology for students who intend to make a career in the profession. The business component provides students with the knowledge, competencies and values necessary for fulfilling an effective career in business.

Graduates with solid IT skills who also understand business operations are in strong demand in industry. This combined program allows students to gain two degrees, leading towards a career in business IT operations in only four years.

",C10219 
Bachelor of Information Systems Bachelor of Business,Bachelor of Information Systems Bachelor of Business ,"The Bachelor of Information Systems Bachelor of Business (BIS BBus) is a cross-faculty offering, leveraging the strengths of Information Systems and Business. The offering is aimed at meeting the emerging demands of a new generation of technology managers ready to deal with the challenges of complex systems.

Students study complex systems such as enterprises, their services for different stakeholders (customers/patients/citizens/other organisations and stakeholders), and their internal processes conducted by people (with knowledge, skills and social capital) using data, information and IT-enabled services. The Business component provides students with the knowledge, competencies and values necessary for fulfilling an effective career in business.

Bachelor of Information Systems Bachelor of Business (BIS BBus) graduates are highly sought after in meeting the job demands of the increasingly digital world of the future.

BIS BBus graduates work in, and create value from the financial, environmental and social aspects of any type of organisation.

With future-focussed specialisations including Systems Analytics, Smart Infrastructure and Sustainable Enterprises, BIS/BBus graduates are well positioned to serve Australian local, as well as international job markets.

",C10278 
Bachelor of Information Systems Bachelor of Business,Bachelor of Information Systems Bachelor of Business ,"The Bachelor of Information Systems Bachelor of Business (BIS BBus) is a cross-faculty offering, leveraging the strengths of Information Systems and Business. The offering is aimed at meeting the emerging demands of a new generation of technology managers ready to deal with the challenges of complex systems.

Students study complex systems such as enterprises, their services for different stakeholders (customers/patients/citizens/other organisations and stakeholders), and their internal processes conducted by people (with knowledge, skills and social capital) using data, information and IT-enabled services. The Business component provides students with the knowledge, competencies and values necessary for fulfilling an effective career in business.

Bachelor of Information Systems Bachelor of Business (BIS BBus) graduates are highly sought after in meeting the job demands of the increasingly digital world of the future.

BIS BBus graduates work in, and create value from the financial, environmental and social aspects of any type of organisation.

With future-focussed specialisations including Systems Analytics, Smart Infrastructure and Sustainable Enterprises, BIS/BBus graduates are well positioned to serve Australian local, as well as international job markets.

",C10278 
Bachelor of Health Science Bachelor of Business,Bachelor of Health Science Bachelor of Business ,"The Bachelor of Health Science Bachelor of Business is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important aspects of business. It is designed to prepare graduates with qualifications to help improve the health of individuals and populations from a public health and business perspective. Graduates are equipped for a broad field of practice, based on the application of business and public health principles in governmental and non-governmental health services and the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs. In the Bachelor of Business component, students choose a major to further develop their understanding of a specific business discipline.

",C10468 
Bachelor of Health Science Bachelor of Business,Bachelor of Health Science Bachelor of Business ,"The Bachelor of Health Science Bachelor of Business is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important aspects of business. It is designed to prepare graduates with qualifications to help improve the health of individuals and populations from a public health and business perspective. Graduates are equipped for a broad field of practice, based on the application of business and public health principles in governmental and non-governmental health services and the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs. In the Bachelor of Business component, students choose a major to further develop their understanding of a specific business discipline.

",C10468 
Bachelor of Business Bachelor of Laws,Bachelor of Business Bachelor of Laws ,"The combined Bachelor of Business Bachelor of Laws equips students with skills in the highly marketable disciplines of business and law. Students build fundamental knowledge of the law and its application in a range of business environments, as well as an understanding of the legal frameworks that support key business disciplines.

Specialist skills are developed through electives and major choices, such as the Legal Futures and Technology major, which is focused on the emerging tools that are shaping the legal profession.

As well as gaining the critical, analytical and evaluative skills required for effective legal and business practice, on completion of this course students also meet the academic requirements for admission to practise law in NSW.

",C10125 
Bachelor of Business Bachelor of Laws,Bachelor of Business Bachelor of Laws ,"The combined Bachelor of Business Bachelor of Laws equips students with skills in the highly marketable disciplines of business and law. Students build fundamental knowledge of the law and its application in a range of business environments, as well as an understanding of the legal frameworks that support key business disciplines.

Specialist skills are developed through electives and major choices, such as the Legal Futures and Technology major, which is focused on the emerging tools that are shaping the legal profession.

As well as gaining the critical, analytical and evaluative skills required for effective legal and business practice, on completion of this course students also meet the academic requirements for admission to practise law in NSW.

",C10125 
Bachelor of Science Bachelor of Business,Bachelor of Science Bachelor of Business ,"The Bachelor of Science Bachelor of Business is designed to produce graduates who are prepared for scientific practice or business and management in technical, financial, regulatory, environmental, health or biomedical oriented businesses, industries or government departments. Students choose one of seven specialised science majors according to their preference. Students also have a choice of major study in the business stream.

Students choose from a choice of majors from both their science and business degrees. Depending on the science and business disciplines chosen, graduates could work in a wide range of areas such as commodities, resource trading, pharmaceutical industries, leading consumer goods companies, hospitals, medical research, industry, environmental protection agencies and government.

Demand is growing for graduates able to cross the divide between science and business. Students develop a combination of scientific and professional business skills, and transferable skills that are highly sought-after by employers.

",C10162 
Bachelor of Science Bachelor of Business,Bachelor of Science Bachelor of Business ,"The Bachelor of Science Bachelor of Business is designed to produce graduates who are prepared for scientific practice or business and management in technical, financial, regulatory, environmental, health or biomedical oriented businesses, industries or government departments. Students choose one of seven specialised science majors according to their preference. Students also have a choice of major study in the business stream.

Students choose from a choice of majors from both their science and business degrees. Depending on the science and business disciplines chosen, graduates could work in a wide range of areas such as commodities, resource trading, pharmaceutical industries, leading consumer goods companies, hospitals, medical research, industry, environmental protection agencies and government.

Demand is growing for graduates able to cross the divide between science and business. Students develop a combination of scientific and professional business skills, and transferable skills that are highly sought-after by employers.

",C10162 
Bachelor of Medical Science Bachelor of Business,Bachelor of Medical Science Bachelor of Business ,"The Bachelor of Medical Science Bachelor of Business is designed to produce graduates who are prepared for scientific practice or business and management in health and medical businesses or institutions. Medical Scientists with Business strengths are the leaders of creating, and developing and taking to the public or market, solutions to health and medical problems. Medical Scientists careers are dynamic and involve an exciting range of professions from research and development, business, writing and implementing policy and practice in the medical and health sciences, and communicating science. In the medical scientists component of this degree students choose to major in Medical and Health-related Sciences or Pathology, allowing them to have speciality relevant to their career choices and interests. In the Medical and Health-related Science major students learn the body through the study of tissues, organs and cellular facets both in health and disease, medical devices, how medicines work, as well as public health policies and clinical trials. In the Pathology major students learn how diseases trigger biochemical or cellular changes in the body and how to best diagnose and treat these diseases. Students learn by applying and investigating scientific approaches in world class laboratories with up-to-date scientific technologies and equipment in line with those used in the industry. This hands-on learning is accompanied by development of professional skills such as communication, problem solving, critical thinking, and innovation that means the students are ideally placed for a range of professions.

The aim of this combined degree is to produce graduates with professional qualifications in both medical science and business, to enable them to practise in both areas. Graduates who can cross the divide between medical science and business are highly sought after by employers because they not only have scientific and business skills, but also have transferable skills such as analytical, critical thinking and communication skills.

",C10163 
Bachelor of Medical Science Bachelor of Business,Bachelor of Medical Science Bachelor of Business ,"The Bachelor of Medical Science Bachelor of Business is designed to produce graduates who are prepared for scientific practice or business and management in health and medical businesses or institutions. Medical Scientists with Business strengths are the leaders of creating, and developing and taking to the public or market, solutions to health and medical problems. Medical Scientists careers are dynamic and involve an exciting range of professions from research and development, business, writing and implementing policy and practice in the medical and health sciences, and communicating science. In the medical scientists component of this degree students choose to major in Medical and Health-related Sciences or Pathology, allowing them to have speciality relevant to their career choices and interests. In the Medical and Health-related Science major students learn the body through the study of tissues, organs and cellular facets both in health and disease, medical devices, how medicines work, as well as public health policies and clinical trials. In the Pathology major students learn how diseases trigger biochemical or cellular changes in the body and how to best diagnose and treat these diseases. Students learn by applying and investigating scientific approaches in world class laboratories with up-to-date scientific technologies and equipment in line with those used in the industry. This hands-on learning is accompanied by development of professional skills such as communication, problem solving, critical thinking, and innovation that means the students are ideally placed for a range of professions.

The aim of this combined degree is to produce graduates with professional qualifications in both medical science and business, to enable them to practise in both areas. Graduates who can cross the divide between medical science and business are highly sought after by employers because they not only have scientific and business skills, but also have transferable skills such as analytical, critical thinking and communication skills.

",C10163 
Bachelor of Molecular Biotechnology Bachelor of Business,Bachelor of Molecular Biotechnology Bachelor of Business ,"The Bachelor of Molecular Biotechnology Bachelor of Business is designed to produce graduates who are prepared for scientific practice in the biotechnology industry or who are equipped for entry into business and management in science-based businesses or institutions.

Students study the biological processes of living organisms and learn the skills required to manipulate processes in the development of new pharmaceuticals, vaccines, food or organic substances. This combined degree allows students to choose between a career in business or biotechnological science.

",C10169 
Bachelor of Molecular Biotechnology Bachelor of Business,Bachelor of Molecular Biotechnology Bachelor of Business ,"The Bachelor of Molecular Biotechnology Bachelor of Business is designed to produce graduates who are prepared for scientific practice in the biotechnology industry or who are equipped for entry into business and management in science-based businesses or institutions.

Students study the biological processes of living organisms and learn the skills required to manipulate processes in the development of new pharmaceuticals, vaccines, food or organic substances. This combined degree allows students to choose between a career in business or biotechnological science.

",C10169 
Bachelor of Business Bachelor of International Studies,Bachelor of Business Bachelor of International Studies ,"The Bachelor of Business Bachelor of International Studies is offered jointly by Business and International Studies. The degree integrates the study of business with a major in the language and culture of another country.

This course gives students a business degree with an international edge and the communication and interpersonal skills required for a career overseas or in a multinational organisation.

",C10020 
Bachelor of Business Bachelor of Creative Intelligence and Innovation,Bachelor of Business Bachelor of Creative Intelligence and Innovation ,"The Bachelor of Business offers students a sound background in all areas of business through common core subjects, in addition to in-depth knowledge in one or more chosen areas of interest.

Taking a transdisciplinary approach, the Bachelor of Creative Intelligence and Innovation utilises multiple perspectives from diverse fields, integrating a range of industry experiences, real-world projects and self-initiated proposals, equipping graduates to address the wicked problems, complex challenges and untapped opportunities in today's world.

This course provides an understanding of important aspects of business and offers a wide choice of majors and sub-majors including international exchange options.

By focusing on the high-level conceptual thinking and problem-solving practices that lead to the development of innovative, creative and entrepreneurial outcomes, students of the combined degree also gain leading edge capabilities that are highly valued in the globalised world, including dealing with critical and creative thinking, invention, complexity, innovation, future scenario building and entrepreneurship, and the ability to work on their own, across and between other disciplines. These creative intelligence competencies enable graduates to navigate across a rapidly accelerating world of change.

",C10326 
Bachelor of Business Bachelor of Sustainability and Environment,Bachelor of Business Bachelor of Sustainability and Environment ,"The Bachelor of Business Bachelor of Sustainability and Environment offers students a sound background in all areas of business and the multidisciplinary knowledge of sustainability required to operate within the green economy. Students begin by exploring core areas of business and build their knowledge of sustainability as a scientific, legal and social domain. In the latter years of the course, students undertake one of eight business majors to develop in-depth knowledge of the business context and work with industry and community partners in studio subjects to address real sustainability issues.

Students develop a combination of professional business skills and knowledge on environmental, economic, social and cultural sustainability through a business specialisation, internship-like experiences and problem-based learning within the Sustainability and Environment core subjects.

",C10411 
Bachelor of Health Science Bachelor of Economics,Bachelor of Health Science Bachelor of Economics ,"The Bachelor of Health Science Bachelor of Economics is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important aspects of financial systems. It is designed to prepare graduates with a qualification to help improve the health of individuals and populations and to respond effectively to economic challenges. Graduates are equipped for a broad field of practice, based on the application of business and public health principles in governmental and non-governmental health services and the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs.

In the Bachelor of Business component, students will gain the analytical and quantitative skills required for an in-depth understanding of key economic principles.

",C10470 
Bachelor of Health Science Bachelor of Economics,Bachelor of Health Science Bachelor of Economics ,"The Bachelor of Health Science Bachelor of Economics is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important aspects of financial systems. It is designed to prepare graduates with a qualification to help improve the health of individuals and populations and to respond effectively to economic challenges. Graduates are equipped for a broad field of practice, based on the application of business and public health principles in governmental and non-governmental health services and the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs.

In the Bachelor of Business component, students will gain the analytical and quantitative skills required for an in-depth understanding of key economic principles.

",C10470 
Bachelor of Economics Bachelor of Laws,Bachelor of Economics Bachelor of Laws ,"This course equips students with an understanding of the interconnected relationship between financial systems and the law. Course content emphasises skills and knowledge in legal theory and practice, as well as the analytical and quantitative capabilities required to respond effectively to economic challenges.

Students study the fundamentals of the law, satisfying the academic requirements for admission to practise law in NSW, combined with econometrics, macroeconomics and microeconomics subjects as they relate to practical policy.

Specialist skills are built through electives and majors, such as the tech-driven Legal Futures and Technology major. This course is aimed at analytical thinkers with a passion for translating theory into practice. Hands-on study, including capstones and internships, is a key component of this combined degree.

",C10386 
Bachelor of Economics Bachelor of Laws,Bachelor of Economics Bachelor of Laws ,"This course equips students with an understanding of the interconnected relationship between financial systems and the law. Course content emphasises skills and knowledge in legal theory and practice, as well as the analytical and quantitative capabilities required to respond effectively to economic challenges.

Students study the fundamentals of the law, satisfying the academic requirements for admission to practise law in NSW, combined with econometrics, macroeconomics and microeconomics subjects as they relate to practical policy.

Specialist skills are built through electives and majors, such as the tech-driven Legal Futures and Technology major. This course is aimed at analytical thinkers with a passion for translating theory into practice. Hands-on study, including capstones and internships, is a key component of this combined degree.

",C10386 
Bachelor of Economics Bachelor of Sustainability and Environment,Bachelor of Economics Bachelor of Sustainability and Environment ,"The Bachelor of Economics Bachelor of Sustainability and Environment offers students the analytical and quantitative skills required for an in-depth understanding of key economic principles and the multidisciplinary knowledge of sustainability required to operate within the green economy.

Subjects in the Bachelor of Economics provide training in econometrics, macroeconomics, microeconomics as well as other Economics fields with an emphasis on practical policy. Students gain skills to understand the economic efficiency and conditions for market failure that necessitate government intervention and are equipped with economic and econometric policy analysis skills suitable for tackling economic and social issues related to the UN Sustainable Development Goals. Subjects in the Bachelor of Sustainability and Environment expand this study to the complexity of sustainability in the environmental, political, social, and cultural senses. It also provides depth of study on and practical engagement with different industry and professional applications of sustainability.

The course promotes an understanding of how institutional rules and incentives shape economic outcomes and provides knowledge of the economic, environmental, social and cultural sustainability through Economics and Sustainability specialisations, internship-like experiences and problem-based learning within the Economics and Sustainability and Environment subjects.

",C10445 
Bachelor of Health Science Bachelor of Management,Bachelor of Health Science Bachelor of Management ,"The Bachelor of Health Science Bachelor of Management is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important managerial concepts and innovative, entrepreneurial thinking. It is designed to prepare graduates with qualifications to help improve the health of individuals and populations from both public health and business perspectives. Graduates are equipped for a broad field of practice, based on the application of management and public health principles in both governmental and non-governmental health services, as well as the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs.

In the Bachelor of Management component, students choose a major to further develop their understanding in one of three key industries: Digital Creative Enterprise, Events, or Sport Business.

",C10469 
Bachelor of Health Science Bachelor of Management,Bachelor of Health Science Bachelor of Management ,"The Bachelor of Health Science Bachelor of Management is a combined program jointly offered by the Faculty of Health and the UTS Business School. The program provides students with a foundational understanding of health science and public health with important managerial concepts and innovative, entrepreneurial thinking. It is designed to prepare graduates with qualifications to help improve the health of individuals and populations from both public health and business perspectives. Graduates are equipped for a broad field of practice, based on the application of management and public health principles in both governmental and non-governmental health services, as well as the wider industry.

The Bachelor of Health Science component is characterised by a strong emphasis on the social model of health and combines health-specific content with a mix of professional and scientific subjects. Students develop knowledge within a framework that can be tailored to suit their interests and needs.

In the Bachelor of Management component, students choose a major to further develop their understanding in one of three key industries: Digital Creative Enterprise, Events, or Sport Business.

",C10469 
Bachelor of Management Bachelor of International Studies,Bachelor of Management Bachelor of International Studies ,"The combined degree, Bachelor of Management Bachelor of International Studies, is offered jointly by Business and International Studies. The program integrates the study of business management alongside the culture and language of another country. Students select one of four majors within the Bachelor of Management – Events, Sport Business and Digital Creative – each of which represent a core sector of the entertainment and experience industries. The International Studies component of the combined degree allows students to develop sector-specific knowledge and skills in both Australian settings and abroad.

This combined degree enables students to travel and study abroad for up to two semesters, located with one of UTS’s partner universities. It is therefore distinctive in offering both tertiary education and life experience in two countries. The course develops deep knowledge of the entertainment and experience industries while combining direct exposure to their application in different cultures and economies.

",C10343 
Bachelor of Management Bachelor of Creative Intelligence and Innovation,Bachelor of Management Bachelor of Creative Intelligence and Innovation ,"Taking a transdisciplinary approach, the combined degree Bachelor of Management Bachelor of Creative Intelligence and Innovation provides a compelling combination of deep industry knowledge alongside dynamic approaches to product and service design. This program goes well beyond the design-thinking and design-led innovation programmes now common in university environments to examine how innovation is led from multiple disciplinary perspectives.

The management focus of the program provides integrated exposure to the structure, function, and operation of the socio-culturally dynamic entertainment and experience industries, with a special focus on the visitor and audience economies of events, sport business, and the digital creative sector. Featuring a strong emphasis on innovation and entrepreneurship, this course provides a compelling combination of conceptual rigour and practical knowledge, which includes opportunities for internships with industry partners and overseas exchange placements with university partners.

The creative intelligence focus of the program propels students to ‘think differently’ and to experience a new form of education. Instead of lectures and tutorials, students do hackathons, think tanks, and hot housing days in a creative lab environment during their winter and summer schools. They take ideas for a walk and trial speculative scenarios – they undertake thought experiments and engage in carefully-designed sandpit environments with creative methods and practices from across the disciplines.

In summary, this combined degree brings together multiple perspectives from diverse fields, integrating insights from the entertainment and experience industries, this allowing for the cultivation of real-world projects and self-initiated proposals, equipping graduates to address the ‘wicked’ problems, complex challenges, and untapped opportunities in today's world.

By focusing on the high-level conceptual thinking and problem-solving practices that lead to the development of innovative, creative and entrepreneurial outcomes, students of this combined degree also gain leading edge capabilities which are highly valued in the globalised world, including critical and creative thinking, invention, complexity, innovation, future scenario building and entrepreneurship, and the ability to work independently across disciplines. These creative intelligence competencies enable graduates to navigate in a rapidly changing world.

",C10355 
